Position,Team,Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points
1,Bayern Munich,34,21,8,5,92,38,+54,71
2,Borussia Dortmund,34,22,5,7,83,44,+39,71
3,RB Leipzig,34,20,6,8,64,41,+23,66
4,Union Berlin,34,18,8,8,51,38,+13,62
5,Freiburg,34,17,8,9,51,44,+7,59
6,Leverkusen,34,14,8,12,57,49,+8,50
7,Eintracht Frankfurt,34,13,11,10,58,52,+6,50
8,Wolfsburg,34,13,10,11,57,48,+9,49
9,Mainz,34,12,10,12,54,55,-1,46
10,Borussia Monchengladbach,34,11,10,13,52,55,-3,43
11,FC Koln,34,10,12,12,49,54,-5,42
12,Hoffenheim,34,10,6,18,48,57,-9,36
13,Werder Bremen,34,10,6,18,51,64,-13,36
14,VfL Bochum 1848,34,10,5,19,40,72,-32,35
15,Augsburg,34,9,7,18,42,63,-21,34
16,VFB Stuttgart,34,7,12,15,45,57,-12,33
17,Schalke,34,7,10,17,35,71,-36,31
18,Hertha Berlin,34,7,8,19,42,69,-27,29
